"feature","chi2","p","n_target","n_reference","direction","signed_chi2","feature_en"
"links",18.8652102984079,1.4028797411747e-05,18,7,"Left-leaning",18.8652102984079,"left-wing"
"sozial",12.2642686740569,0.000461714128012547,26,21,"Left-leaning",12.2642686740569,"social"
"denken",8.66186829752738,0.00324937965183747,8,2,"Left-leaning",8.66186829752738,"think"
"umweltbewusst",7.41872697427469,0.0064548468610679,12,8,"Left-leaning",7.41872697427469,"environmentally conscious"
"kulturell",3.80835098718421,0.0509976346600686,7,4,"Left-leaning",3.80835098718421,"cultural"
"daran",3.68649981799274,0.0548546160945469,3,0,"Left-leaning",3.68649981799274,"about it"
"gerechtigkeit",3.68649981799274,0.0548546160945469,3,0,"Left-leaning",3.68649981799274,"justice"
"gleichberechtigung",3.68649981799274,0.0548546160945469,3,0,"Left-leaning",3.68649981799274,"equal rights"
"linke",3.68649981799274,0.0548546160945469,3,0,"Left-leaning",3.68649981799274,"leftists"
"lustig",3.68649981799274,0.0548546160945469,3,0,"Left-leaning",3.68649981799274,"fun"
"progressive",3.68649981799274,0.0548546160945469,3,0,"Left-leaning",3.68649981799274,"progressive"
"wichtig",3.59072645600986,0.058102838520929,6,3,"Left-leaning",3.59072645600986,"important"
"alternativ",3.38065613233758,0.0659657891057155,4,1,"Left-leaning",3.38065613233758,"alternative"
"innen",3.38065613233758,0.0659657891057155,4,1,"Left-leaning",3.38065613233758,"within"
"interessieren",3.38065613233758,0.0659657891057155,4,1,"Left-leaning",3.38065613233758,"interest"
"gut",-7.91459835139959,0.00490374659978166,2,26,"Right-leaning",-7.91459835139959,"good"
"gerne",-7.46581803747347,0.00628814513067655,2,25,"Right-leaning",-7.46581803747347,"gladly"
"arbeiten",-7.12014617424949,0.00762224914271847,1,20,"Right-leaning",-7.12014617424949,"work"
"hilfsbereit",-3.56561754094254,0.0589877958789896,2,16,"Right-leaning",-3.56561754094254,"helpful"
"dass",-3.2958723079077,0.0694542078085127,1,14,"Right-leaning",-3.2958723079077,"that"
"mitte",-3.15645476963581,0.0756272545885177,2,15,"Right-leaning",-3.15645476963581,"mitte"
"gute",-2.98251862088749,0.0841682031533503,3,18,"Right-leaning",-2.98251862088749,"gute"
"bodenständig",-2.8763593062737,0.0898890454125338,1,13,"Right-leaning",-2.8763593062737,"down-to-earth"
"modern",-2.86118472882773,0.0907406438843148,0,9,"Right-leaning",-2.86118472882773,"modern"
"bodenständige",-2.40930728737103,0.12061572858524,0,8,"Right-leaning",-2.40930728737103,"down-to-earth people"
"liberal",-2.21027474514172,0.137094253313647,4,19,"Right-leaning",-2.21027474514172,"liberal"
"leute",-2.10785154808268,0.146544933966086,22,67,"Right-leaning",-2.10785154808268,"leute"
"intelligent",-2.06315651519252,0.15089730890926,1,11,"Right-leaning",-2.06315651519252,"intelligent"
"land",-1.96237397431882,0.161259653607484,0,7,"Right-leaning",-1.96237397431882,"land"
"selber",-1.96237397431882,0.161259653607484,0,7,"Right-leaning",-1.96237397431882,"selber"
